group_id,question_ids,model
MMLU_ARRANGED_GROUP_001,"MMLU_global_facts_WhatIsThe_0029,MMLU_formal_logic_UseTheFollowing_0005,MMLU_business_ethics_________,WhereFor_0006,MMLU_business_ethics_AccordingToEvan_0096",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_002,"MMLU_global_facts_AsOf2019,_0043,MMLU_high_school_geography_WhichOneOf_0017,MMLU_international_law_WhatOtherCriteria_0033,MMLU_high_school_mathematics_WhichOfThe_0100",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_003,"MMLU_moral_scenarios_ForWhichOf_0046,MMLU_high_school_geography_ACityThat_0095,MMLU_high_school_mathematics_HowManyPositive_0024,MMLU_moral_scenarios_ForWhichOf_0043",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_004,"MMLU_college_physics_TheQuantumEfficiency_0034,MMLU_high_school_mathematics_RoslynHasTwenty_0070,MMLU_moral_scenarios_ForWhichOf_0082,MMLU_miscellaneous_WhichOfThese_0090",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_005,"MMLU_international_law_HowCanThe_0047,MMLU_global_facts_WhatIsThe_0074,MMLU_business_ethics_TheNeedTo_0085,MMLU_business_ethics_ReplacingSupplyChains_0066",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_006,"MMLU_miscellaneous_WhatFrenchCity_0022,MMLU_formal_logic_ConstructAComplete_0012,MMLU_abstract_algebra_Statement1|_0043,MMLU_college_physics_TheCoefficientOf_0012",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_007,"MMLU_business_ethics____________,___________And_0024,MMLU_moral_scenarios_ForWhichOf_0032,MMLU_global_facts_AsOf2018,_0030,MMLU_international_law_WhatIsThe_0041",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_008,"MMLU_high_school_geography_WhichOfThe_0007,MMLU_abstract_algebra_Statement1|_0091,MMLU_miscellaneous_InBowlingHow_0072,MMLU_high_school_mathematics_ThePolynomialWhich_0018",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_009,"MMLU_abstract_algebra_FindTheCharacteristic_0074,MMLU_abstract_algebra_Statement1|_0035,MMLU_abstract_algebra_DetermineWhetherThe_0038,MMLU_high_school_geography_OfThese,The_0047",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_010,"MMLU_global_facts_AsOf2017,_0051,MMLU_business_ethics_______IsThe_0094,MMLU_moral_scenarios_ForWhichOf_0071,MMLU_high_school_mathematics_An8.5-by-11-inchPiece_0038",meta-llama/llama-4-scout
