group_id,question_id,question_text,choices_text,duration,llm_answer_raw,llm_answer_extracted,correct_answer,is_correct,model
MMLU_ARRANGED_GROUP_001,MMLU_global_facts_WhatIsThe_0029,What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,A. 10%\nB. 30%\nC. 50%\nD. 70%,922,"{""answer"": ""B""}",B,D,False,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_001,MMLU_formal_logic_UseTheFollowing_0005," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(~B • E) ⊃ D",A. If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nB. If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nC. Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.\nD. Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,1268,"{""answer"": ""B""}",B,B,True,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_001,"MMLU_business_ethics_________,WhereFor_0006","________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.","A. Power imbalance, Benefits, Hoodwinked\nB. Power imbalance, Resources, Co-opted\nC. Informational asymmetries, Benefits, Hoodwinked\nD. Informational asymmetries, Resources, Co-opted",2445,"{""answer"": ""B""}",B,B,True,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_001,MMLU_business_ethics_AccordingToEvan_0096,"According to Evan and Freeman (1993), the Principle of ________ and the Principle of _______ can be used in a specific situation to determine who constitutes a _______.","A. Corporate rights, Corporate effect, Stakeholder\nB. Corporate deniability, Corporate effect, Stakeholder\nC. Corporate rights, Corporate responsibility, Stakeholder\nD. Corporate rights, Corporate effect, Shareholder",360,"{""answer"": ""C""}",C,A,False,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_002,MMLU_high_school_geography_WhichOneOf_0017,Which one of the following is NOT a characteristic of world cities?,A. World cities contain the headquarters of many transnational corporations.\nB. World cities are well connected to secondary-level world cities.\nC. World cities contain many offices of multinational organizations.\nD. World cities are found only in the northern and western hemispheres.,326,"{""answer"": ""D""}",D,D,True,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_002,MMLU_international_law_WhatOtherCriteria_0033,What other criteria were imposed by the Badinter Commission on the former Yugoslav republics?,A. The Commission required a commitment to submit disputes to the ICJ\nB. The Commission required a change in boundaries\nC. The Commission required a commitment to human rights and democracy\nD. The Commission required an exchange of ethnic populations,433,"{""answer"": ""C""}",C,C,True,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_002,MMLU_high_school_mathematics_WhichOfThe_0100,Which of the following points is NOT a solution to both the inequalities y > 9x – 8 and y < – x + 8?,"A. (– 2, 15)\nB. (–1, 5)\nC. (0, 0)\nD. (1, 5)",2464,"{""answer"": ""A""}",A,A,True,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_002,"MMLU_global_facts_AsOf2019,_0043","As of 2019, which of the following had the lowest life expectancy?",A. Brazil\nB. China\nC. Mexico\nD. Iran,958,"{""answer"": ""C""}",C,C,True,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_003,MMLU_moral_scenarios_ForWhichOf_0046,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I banished my daughter to the basement for twenty years for being rude. Scenario 2 | I started a forest wild fire and burned some twigs and shrubs.","A. Wrong, Wrong\nB. Wrong, Not wrong\nC. Not wrong, Wrong\nD. Not wrong, Not wrong",2561,"**Answer:**  
```json
{
  ""answer"": ""B""
}
```  

**Explanation:**  
- **Scenario 1** involves banishing a child to a basement for 20 years as punishment for rudeness. This is a severe, disproportionate act of abuse and neglect, violating ordinary moral standards in the US (e.g., child welfare laws and ethical parenting norms). It is clearly morally wrong.  
- **Scenario 2** describes starting a forest wildfire that burns ""some twigs and shrubs."" While starting wildfires is generally dangerous and often illegal, the phrasing here minimizes harm (""twigs and shrubs"") and lacks context (e.g., intent, negligence, or environmental impact). Under ordinary moral standards, minor accidental damage might not be viewed as *clearly* morally wrong compared to intentional harm. However, if interpreted as reckless behavior, it could still be wrong. The ambiguity in intent and scale leads to a less definitive judgment, making ""Not wrong"" a plausible interpretation for this scenario. Thus, **B (Wrong, Not wrong)** aligns with the reasoning that only the first scenario is unambiguously immoral.",B,A,False,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_003,MMLU_high_school_geography_ACityThat_0095,A city that is more than twice as large as the next largest city in a country is called a,A. global city.\nB. world leader city.\nC. megalopolis.\nD. primate city.,336,"{""answer"": ""D""}",D,D,True,deepseek/deepseek-r1
