group_id,llm_ranking,raw_llm_ranking_output,combined_duration,total_individual_duration,measured_ranking,score,model
MMLU_ARRANGED_GROUP_001,"Q2,Q4,Q3,Q1","{""ranking"": [""Q2"", ""Q4"", ""Q3"", ""Q1""]}",3263,4995,"Q2,Q3,Q4,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_002,"Q2,Q1,Q3,Q4","{""ranking"": [""Q2"", ""Q1"", ""Q3"", ""Q4""]}",3158,4181,"Q2,Q3,Q1,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_003,"Q2,Q4,Q1,Q3","```json
{
  ""ranking"": [""Q2"", ""Q4"", ""Q1"", ""Q3""]
}
```",4608,4034,"Q2,Q4,Q3,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_004,"Q4,Q2,Q1,Q3","```json
{
  ""ranking"": [""Q4"", ""Q2"", ""Q1"", ""Q3""]
}
```",3206,2647,"Q1,Q3,Q2,Q4",0.16666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_005,"Q1,Q2,Q4,Q3","{""ranking"": [""Q1"", ""Q2"", ""Q4"", ""Q3""]}",1797,3586,"Q1,Q4,Q2,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_006,"Q1,Q3,Q4,Q2","```json
{
  ""ranking"": [""Q1"", ""Q3"", ""Q4"", ""Q2""]
}
```",2713,6115,"Q1,Q3,Q4,Q2",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_007,"Q2,Q1,Q4,Q3","```json
{
  ""ranking"": [""Q2"", ""Q1"", ""Q4"", ""Q3""]
}
```",2196,2558,"Q1,Q4,Q2,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_008,"Q3,Q1,Q2,Q4","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]
}
```",1177,2401,"Q3,Q2,Q1,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_009,"Q4,Q1,Q3,Q2","```json
{
  ""ranking"": [""Q4"", ""Q1"", ""Q3"", ""Q2""]
}
```",1007,3184,"Q4,Q1,Q3,Q2",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_010,"Q2,Q1,Q3,Q4","{""ranking"": [""Q2"", ""Q1"", ""Q3"", ""Q4""]}",2509,3714,"Q1,Q4,Q3,Q2",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_011,"Q3,Q1,Q2,Q4","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]
}
```",2575,2355,"Q3,Q2,Q1,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_012,"Q3,Q2,Q1,Q4","```json
{
  ""ranking"": [""Q3"", ""Q2"", ""Q1"", ""Q4""]
}
```",4851,2256,"Q2,Q1,Q3,Q4",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_013,"Q2,Q4,Q3,Q1","{""ranking"": [""Q2"", ""Q4"", ""Q3"", ""Q1""]}",2185,3275,"Q2,Q3,Q4,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_014,"Q1,Q4,Q3,Q2","{""ranking"": [""Q1"", ""Q4"", ""Q3"", ""Q2""]}",2249,5549,"Q1,Q3,Q4,Q2",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_015,"Q1,Q4,Q2,Q3","```json
{
  ""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]
}
```",2195,6212,"Q4,Q1,Q2,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_016,"Q3,Q4,Q2,Q1","```json
{
  ""ranking"": [""Q3"", ""Q4"", ""Q2"", ""Q1""]
}
```",2660,2820,"Q3,Q2,Q4,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_017,"Q2,Q3,Q1,Q4","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q1"", ""Q4""]
}
```",2952,4311,"Q3,Q2,Q1,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_018,"Q3,Q4,Q1,Q2","```json
{
  ""ranking"": [""Q3"", ""Q4"", ""Q1"", ""Q2""]
}
```",1763,2335,"Q3,Q4,Q1,Q2",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_019,"Q3,Q2,Q1,Q4","```json
{
  ""ranking"": [""Q3"", ""Q2"", ""Q1"", ""Q4""]
}
```",2551,3210,"Q2,Q4,Q1,Q3",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_020,"Q2,Q1,Q3,Q4","```json
{
  ""ranking"": [""Q2"", ""Q1"", ""Q3"", ""Q4""]
}
```",1755,3029,"Q2,Q4,Q3,Q1",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_021,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",1289,3699,"Q2,Q4,Q3,Q1",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_022,"Q3,Q1,Q4,Q2","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q4"", ""Q2""]
}
```",2114,6221,"Q3,Q4,Q1,Q2",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_023,"Q3,Q4,Q1,Q2","```json
{
  ""ranking"": [""Q3"", ""Q4"", ""Q1"", ""Q2""]
}
```",979,1776,"Q2,Q4,Q3,Q1",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_024,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",1070,2714,"Q1,Q2,Q3,Q4",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_025,"Q4,Q2,Q1,Q3","{""ranking"": [""Q4"", ""Q2"", ""Q1"", ""Q3""]}",2497,4912,"Q4,Q2,Q1,Q3",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_026,"Q2,Q1,Q3,Q4","{""ranking"": [""Q2"", ""Q1"", ""Q3"", ""Q4""]}",2829,3798,"Q2,Q4,Q3,Q1",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_027,"Q1,Q2,Q4,Q3","{""ranking"": [""Q1"", ""Q2"", ""Q4"", ""Q3""]}",2313,1829,"Q4,Q1,Q2,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_028,"Q3,Q1,Q4,Q2","{""ranking"": [""Q3"", ""Q1"", ""Q4"", ""Q2""]}",3559,3990,"Q3,Q4,Q2,Q1",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_029,"Q3,Q1,Q4,Q2","{""ranking"": [""Q3"", ""Q1"", ""Q4"", ""Q2""]}",1796,1856,"Q3,Q2,Q4,Q1",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_030,"Q3,Q2,Q4,Q1","```json
{
  ""ranking"": [""Q3"", ""Q2"", ""Q4"", ""Q1""]
}
```",3445,3272,"Q4,Q3,Q1,Q2",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_031,"Q2,Q4,Q1,Q3","```json
{
  ""ranking"": [""Q2"", ""Q4"", ""Q1"", ""Q3""]
}
```",1107,3726,"Q2,Q4,Q1,Q3",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_032,"Q1,Q2,Q4,Q3","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q4"", ""Q3""]
}
```",1695,2726,"Q1,Q4,Q2,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_033,"Q3,Q1,Q2,Q4","{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}",1621,3376,"Q1,Q3,Q4,Q2",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_034,"Q1,Q4,Q2,Q3","```json
{
  ""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]
}
```",2886,3181,"Q1,Q2,Q4,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_035,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",1109,1850,"Q2,Q1,Q3,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_036,"Q1,Q3,Q2,Q4","{""ranking"": [""Q1"", ""Q3"", ""Q2"", ""Q4""]}",2031,2592,"Q3,Q1,Q2,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_037,"Q3,Q1,Q2,Q4","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]
}
```",906,1573,"Q3,Q4,Q1,Q2",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_038,"Q1,Q2,Q3,Q4","{""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]}",1007,13791,"Q1,Q3,Q2,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_039,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",2900,10467,"Q4,Q1,Q3,Q2",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_040,"Q3,Q4,Q2,Q1","{""ranking"": [""Q3"", ""Q4"", ""Q2"", ""Q1""]}",3047,4036,"Q3,Q2,Q1,Q4",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_041,"Q1,Q2,Q4,Q3","{""ranking"": [""Q1"", ""Q2"", ""Q4"", ""Q3""]}",2194,3857,"Q2,Q1,Q3,Q4",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_042,"Q4,Q1,Q3,Q2","```json
{
  ""ranking"": [""Q4"", ""Q1"", ""Q3"", ""Q2""]
}
```",2152,2495,"Q3,Q4,Q1,Q2",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_043,"Q2,Q1,Q4,Q3","```json
{
  ""ranking"": [""Q2"", ""Q1"", ""Q4"", ""Q3""]
}
```",2114,3286,"Q2,Q4,Q3,Q1",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_044,"Q2,Q3,Q4,Q1","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q4"", ""Q1""]
}
```",1736,2502,"Q2,Q4,Q1,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_045,"Q3,Q1,Q2,Q4","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]
}
```",2834,4634,"Q3,Q4,Q2,Q1",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_046,"Q3,Q2,Q4,Q1","{""ranking"": [""Q3"", ""Q2"", ""Q4"", ""Q1""]}",1730,2068,"Q3,Q2,Q1,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_047,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",1361,2674,"Q1,Q2,Q4,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_048,"Q3,Q1,Q4,Q2","{""ranking"": [""Q3"", ""Q1"", ""Q4"", ""Q2""]}",1957,6071,"Q3,Q1,Q2,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_049,"Q3,Q2,Q4,Q1","```json
{
  ""ranking"": [""Q3"", ""Q2"", ""Q4"", ""Q1""]
}
```",869,1670,"Q3,Q2,Q1,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_050,"Q3,Q1,Q2,Q4","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]
}
```",959,1280,"Q3,Q1,Q2,Q4",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_051,"Q3,Q4,Q2,Q1","```json
{
  ""ranking"": [""Q3"", ""Q4"", ""Q2"", ""Q1""]
}
```",4742,3436,"Q4,Q3,Q2,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_052,"Q2,Q3,Q1,Q4","{""ranking"": [""Q2"", ""Q3"", ""Q1"", ""Q4""]}",1888,2839,"Q2,Q3,Q4,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_053,"Q2,Q1,Q4,Q3","```json
{
  ""ranking"": [""Q2"", ""Q1"", ""Q4"", ""Q3""]
}
```",2803,1743,"Q2,Q4,Q3,Q1",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_054,"Q1,Q4,Q2,Q3","{""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]}",1435,4839,"Q2,Q3,Q4,Q1",0.16666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_055,"Q2,Q3,Q4,Q1","{""ranking"": [""Q2"", ""Q3"", ""Q4"", ""Q1""]}",2057,1832,"Q2,Q1,Q3,Q4",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_056,"Q2,Q4,Q1,Q3","```json
{
  ""ranking"": [""Q2"", ""Q4"", ""Q1"", ""Q3""]
}
```",2348,4703,"Q2,Q1,Q3,Q4",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_057,"Q3,Q1,Q2,Q4","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]
}
```",1826,1772,"Q3,Q1,Q4,Q2",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_058,"Q4,Q1,Q2,Q3","{""ranking"": [""Q4"", ""Q1"", ""Q2"", ""Q3""]}",2011,4804,"Q4,Q3,Q2,Q1",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_059,"Q4,Q3,Q1,Q2","```json
{
  ""ranking"": [""Q4"", ""Q3"", ""Q1"", ""Q2""]
}
```",1575,2232,"Q3,Q1,Q4,Q2",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_060,"Q2,Q3,Q4,Q1","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q4"", ""Q1""]
}
```",2314,4090,"Q2,Q3,Q1,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_061,"Q4,Q1,Q2,Q3","```json
{
  ""ranking"": [""Q4"", ""Q1"", ""Q2"", ""Q3""]
}
```",3406,1630,"Q4,Q2,Q1,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_062,"Q1,Q3,Q2,Q4","{""ranking"": [""Q1"", ""Q3"", ""Q2"", ""Q4""]}",3746,4698,"Q2,Q3,Q1,Q4",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_063,"Q2,Q1,Q3,Q4","{""ranking"": [""Q2"", ""Q1"", ""Q3"", ""Q4""]}",1764,3148,"Q3,Q1,Q4,Q2",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_064,"Q3,Q1,Q2,Q4","{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}",1888,2506,"Q3,Q1,Q2,Q4",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_065,"Q2,Q1,Q4,Q3","```json
{
  ""ranking"": [""Q2"", ""Q1"", ""Q4"", ""Q3""]
}
```",1277,1795,"Q3,Q2,Q1,Q4",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_066,"Q1,Q3,Q2,Q4","{""ranking"": [""Q1"", ""Q3"", ""Q2"", ""Q4""]}",2184,1864,"Q1,Q3,Q2,Q4",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_067,"Q1,Q3,Q2,Q4","```json
{
  ""ranking"": [""Q1"", ""Q3"", ""Q2"", ""Q4""]
}
```",1699,3610,"Q3,Q1,Q2,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_068,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",1560,3890,"Q2,Q1,Q3,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_069,"Q1,Q2,Q4,Q3","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q4"", ""Q3""]
}
```",1397,4638,"Q2,Q4,Q1,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_070,"Q2,Q1,Q4,Q3","{""ranking"": [""Q2"", ""Q1"", ""Q4"", ""Q3""]}",2942,15509,"Q2,Q1,Q4,Q3",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_071,"Q2,Q3,Q1,Q4","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q1"", ""Q4""]
}
```",4057,3074,"Q2,Q1,Q4,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_072,"Q2,Q4,Q1,Q3","```json
{
  ""ranking"": [""Q2"", ""Q4"", ""Q1"", ""Q3""]
}
```",986,3894,"Q4,Q2,Q1,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_073,"Q2,Q4,Q1,Q3","```json
{
  ""ranking"": [""Q2"", ""Q4"", ""Q1"", ""Q3""]
}
```",1525,1743,"Q1,Q4,Q3,Q2",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_074,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",1593,3411,"Q3,Q1,Q4,Q2",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_075,"Q1,Q3,Q2,Q4","```json
{
  ""ranking"": [""Q1"", ""Q3"", ""Q2"", ""Q4""]
}
```",1945,3166,"Q2,Q1,Q3,Q4",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_076,"Q1,Q3,Q4,Q2","{""ranking"": [""Q1"", ""Q3"", ""Q4"", ""Q2""]}",2711,6904,"Q4,Q2,Q3,Q1",0.16666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_077,"Q3,Q4,Q2,Q1","```json
{
  ""ranking"": [""Q3"", ""Q4"", ""Q2"", ""Q1""]
}
```",1883,5380,"Q3,Q4,Q2,Q1",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_078,"Q4,Q3,Q2,Q1","{""ranking"": [""Q4"", ""Q3"", ""Q2"", ""Q1""]}",2544,2249,"Q4,Q3,Q2,Q1",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_079,"Q2,Q3,Q1,Q4","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q1"", ""Q4""]
}
```",1701,3973,"Q3,Q2,Q1,Q4",0.8333333333333334,deepseek/deepseek-r1
