Word,Predictions,Generated Words,Final Score,Count Words,Missed Predictions,Predicted True Count,Success Out of True,Success Out of False
Alpaca,"{'south america': True, 'camel': False, 'llama': True, 'wool': True}","['fiber', 'south', 'andes', 'soft', 'fuzzy']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Anemonefish,"{'shark': False, 'sea': True, 'coral': True}","['anemone', 'fish', 'colorful', 'parasitic', 'diet']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Anteater,"{'forest': True, 'tongue': True, 'long': False}","['nose', 'd digger', 'claws', 'nocturnal', '둥le']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Antelope,"{'hop': False, 'safari': True, 'lion': False}","['savannah', 'horn', 'grazing', 'african', 'migration']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Badger,"{'forest': True, 'marten': True, 'carnivore': True, 'predator': True}","['rodent', 'sharp', 'feral', ' dedicated', ' underground']",0.00 %,4,100.00 %,4,0.00 %,
Bat,"{'ultrasonic': False, 'vampire': True, 'night': True, 'fly': True}","['flying', 'cave', 'vampire', 'winged', 'nocturnal']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Bear,"{'grizzly': True, 'teddy': True, 'ted': False, 'honey': False, 'pooh': True}","['fur', 'claws', 'forest', 'hibernation', 'strength']",40.00 %,5,100.00 %,3,0.00 %,100.00 %
Bison,"{'cattle': False, 'bison': True, 'steppe': True, 'america': False}","['wildlife', 'herds', 'native', 'herd', 'aboriginal']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Bonobo,"{'monkey': True, 'chimpanzee': True, 'baboon': False, 'primate': True}","['primate', 'gorilla', 'african', 'intelligent', 'conservation']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Butterfly,"{'wings': True, 'flowers': True, 'colorful': True, 'meadow': False}","['colorful', 'delicate', 'transformation', 'wings', 'beauty']",75.00 %,4,50.00 %,3,66.67 %,100.00 %
